Card #,Card Title,Keywords,RFID Serial
1,Crystal Sync,alignment, timing, stability,04:26:9F:5A:06:1F:91
2,Quantum Buddy,connection, loyalty, synchronicity,04:26:A0:5A:06:1F:91
3,Flux Tower,change, transition, breakthrough,04:26:A1:5A:06:1F:91
4,404: Identity Not Found,identity, uncertainty, fluidity,04:26:A2:5A:06:1F:91
5,Neon Tongue,communication, voice, visibility,04:26:A3:5A:06:1F:91
6,Mirror Port,reflection, truth, self-awareness,04:26:A5:5A:06:1F:91
7,Voice Modulator,communication, authenticity, adaptability,04:26:A4:5A:06:1F:91
8,Pride Transmitter,community, visibility, self-acceptance,04:26:A6:5A:06:1F:91
9,Silent Channel,stillness, listening, intuition,04:26:A7:5A:06:1F:91
10,Signal Jammer,interference, boundaries, detox,04:26:A8:5A:06:1F:91
11,Love Pirate,passion, risk, romance,04:26:A9:5A:06:1F:91
12,Sync or Swim,synchronization, teamwork, timing,04:26:AA:5A:06:1F:91
13,Data Leak,revelation, honesty, exposure,04:26:AB:5A:06:1F:91
14,Queer Ping,outreach, connection, hope,04:26:AC:5A:06:1F:91
15,The Signal Beyond,destiny, guidance, synchronicity,04:26:AD:5A:06:1F:91
16,Haptic Bloom,sensory awakening, embodiment, presence,04:26:AE:5A:06:1F:91
17,Copper Skin,resilience, integration, boundaries,04:26:AF:5A:06:1F:91
18,Silicon Pulse,rhythm, integration, vitality,04:25:B0:5A:06:1F:91
19,Voltage Drop,rest, recovery, limits,04:26:B1:5A:06:1F:91
20,Body Buffer,boundaries, self-care, protection,04:26:B2:5A:06:1F:91
21,Soft Shell Protocol,gentle resilience, healing rituals, flexible boundaries,04:26:B3:5A:06:1F:91
22,Neurodivergent Loop,neurodiversity, patterns, acceptance,04:26:B4:5A:06:1F:91
23,Biotech Braid,integration, synergy, unity,04:26:B5:5A:06:1F:91
24,Chromatic Surge,release, authenticity, self-expression,04:26:B6:5A:06:1F:91
25,Queer Firmware,authentic identity, liberation, self-authorship,04:26:B7:5A:06:1F:91
26,Femme Armor,empowered femininity, authentic expression, confidence,04:26:B8:5A:06:1F:91
27,Transistor Dance,transition, fluidity, harmony,04:26:B9:5A:06:1F:91
28,Overheat Warning,burnout prevention, balance, moderation,04:26:BA:5A:06:1F:91
29,Elastic Avatar,adaptability, fluid identity, resilience,04:26:BB:5A:06:1F:91
30,Power Cord Cut,release, boundaries, independence,04:26:BC:5A:06:1F:91
31,Obsidian Drive,memory, grief, resilience,04:26:BD:5A:06:1F:91
32,Dream Cache,intuition, ancestry, wisdom,04:26:BE:5A:06:1F:91
33,Riot.exe,rebellion, courage, activism,04:26:BF:5A:06:1F:91
34,Zine Cluster,creativity, storytelling, authenticity,04:26:C0:5A:06:1F:91
35,Velvet Drag File,self-expression, transformation, performance,04:26:C1:5A:06:1F:91
36,Hard Reset,renewal, reclamation, truth,04:26:C2:5A:06:1F:91
37,Queer.zip,identity, wholeness, complexity,04:26:C3:5A:06:1F:91
38,Public Access Terminal,community, wisdom, shared history,04:26:C4:5A:06:1F:91
39,Redacted Log,truth, silence, revelation,04:26:C5:5A:06:1F:91
40,Deadname Ghost,identity, release, forgiveness,04:26:C6:5A:06:1F:91
41,Ancestral Playlist,music, memory, heritage,04:26:C7:5A:06:1F:91
